00000000) perceptual - 135.45325; gen_gan - 0.35222; feature_matching - 3.50610; equivariance_value - 0.38566; equivariance_jacobian - 0.71901; kp_distance - 4.03942; disc_gan - 0.46968
00000073) perceptual - 90.02500; gen_gan - 0.61076; feature_matching - 4.39729; equivariance_value - 0.30649; equivariance_jacobian - 0.51592; kp_distance - 1.53513; disc_gan - 0.25347
00000074) perceptual - 87.89243; gen_gan - 0.60585; feature_matching - 4.33107; equivariance_value - 0.28704; equivariance_jacobian - 0.49510; kp_distance - 1.53951; disc_gan - 0.26040
00000074) perceptual - 87.86741; gen_gan - 0.60395; feature_matching - 4.33656; equivariance_value - 0.28729; equivariance_jacobian - 0.49270; kp_distance - 1.54228; disc_gan - 0.25811
00000075) perceptual - 87.87514; gen_gan - 0.60380; feature_matching - 4.33461; equivariance_value - 0.29214; equivariance_jacobian - 0.49744; kp_distance - 1.48570; disc_gan - 0.25783
00000075) perceptual - 87.89429; gen_gan - 0.60702; feature_matching - 4.33880; equivariance_value - 0.29252; equivariance_jacobian - 0.49614; kp_distance - 1.49653; disc_gan - 0.25983
00000076) perceptual - 87.62878; gen_gan - 0.60360; feature_matching - 4.32482; equivariance_value - 0.28701; equivariance_jacobian - 0.49347; kp_distance - 1.44981; disc_gan - 0.25944
00000076) perceptual - 87.82854; gen_gan - 0.60612; feature_matching - 4.32996; equivariance_value - 0.28697; equivariance_jacobian - 0.49281; kp_distance - 1.44918; disc_gan - 0.25905
00000077) perceptual - 87.69409; gen_gan - 0.60423; feature_matching - 4.32535; equivariance_value - 0.27658; equivariance_jacobian - 0.48699; kp_distance - 1.43075; disc_gan - 0.25708
00000077) perceptual - 87.92303; gen_gan - 0.60742; feature_matching - 4.32467; equivariance_value - 0.27502; equivariance_jacobian - 0.48642; kp_distance - 1.42931; disc_gan - 0.25899
00000078) perceptual - 87.87139; gen_gan - 0.60627; feature_matching - 4.33090; equivariance_value - 0.28419; equivariance_jacobian - 0.49113; kp_distance - 1.44259; disc_gan - 0.25686
00000078) perceptual - 87.31561; gen_gan - 0.60765; feature_matching - 4.31903; equivariance_value - 0.28455; equivariance_jacobian - 0.48882; kp_distance - 1.44119; disc_gan - 0.25912
00000079) perceptual - 87.45123; gen_gan - 0.60486; feature_matching - 4.32773; equivariance_value - 0.30094; equivariance_jacobian - 0.49626; kp_distance - 1.39111; disc_gan - 0.25841
00000079) perceptual - 87.59358; gen_gan - 0.60907; feature_matching - 4.33198; equivariance_value - 0.29635; equivariance_jacobian - 0.49401; kp_distance - 1.38250; disc_gan - 0.25740
00000080) perceptual - 87.49446; gen_gan - 0.60697; feature_matching - 4.32879; equivariance_value - 0.28585; equivariance_jacobian - 0.48787; kp_distance - 1.38994; disc_gan - 0.25824
00000080) perceptual - 87.42281; gen_gan - 0.60793; feature_matching - 4.32271; equivariance_value - 0.28549; equivariance_jacobian - 0.48667; kp_distance - 1.39512; disc_gan - 0.25562
00000081) perceptual - 86.94902; gen_gan - 0.60777; feature_matching - 4.30592; equivariance_value - 0.29467; equivariance_jacobian - 0.49102; kp_distance - 1.47587; disc_gan - 0.25833
00000081) perceptual - 87.34987; gen_gan - 0.60684; feature_matching - 4.32645; equivariance_value - 0.29805; equivariance_jacobian - 0.49407; kp_distance - 1.47245; disc_gan - 0.25753
00000082) perceptual - 87.02887; gen_gan - 0.54942; feature_matching - 3.76661; equivariance_value - 0.29745; equivariance_jacobian - 0.49000; kp_distance - 1.48364; disc_gan - 0.32312
00000082) perceptual - 87.05081; gen_gan - 0.55328; feature_matching - 3.77170; equivariance_value - 0.30181; equivariance_jacobian - 0.49219; kp_distance - 1.48744; disc_gan - 0.32244
00000083) perceptual - 86.72760; gen_gan - 0.36979; feature_matching - 1.93584; equivariance_value - 0.28651; equivariance_jacobian - 0.48291; kp_distance - 1.45374; disc_gan - 0.41858
00000083) perceptual - 86.57049; gen_gan - 0.36819; feature_matching - 1.93278; equivariance_value - 0.28728; equivariance_jacobian - 0.48617; kp_distance - 1.45296; disc_gan - 0.41853
00000084) perceptual - 86.56872; gen_gan - 0.45276; feature_matching - 3.02919; equivariance_value - 0.28963; equivariance_jacobian - 0.48931; kp_distance - 1.40775; disc_gan - 0.36528
00000084) perceptual - 86.44317; gen_gan - 0.45293; feature_matching - 3.02762; equivariance_value - 0.28643; equivariance_jacobian - 0.48662; kp_distance - 1.41396; disc_gan - 0.36533
00000085) perceptual - 86.63584; gen_gan - 0.61228; feature_matching - 4.29676; equivariance_value - 0.28275; equivariance_jacobian - 0.48678; kp_distance - 1.48190; disc_gan - 0.25153
00000085) perceptual - 86.37499; gen_gan - 0.61073; feature_matching - 4.29238; equivariance_value - 0.28669; equivariance_jacobian - 0.48953; kp_distance - 1.48380; disc_gan - 0.25291
00000086) perceptual - 86.49418; gen_gan - 0.61670; feature_matching - 4.36021; equivariance_value - 0.28514; equivariance_jacobian - 0.47873; kp_distance - 1.42211; disc_gan - 0.25074
00000086) perceptual - 86.51266; gen_gan - 0.61287; feature_matching - 4.35693; equivariance_value - 0.28888; equivariance_jacobian - 0.48292; kp_distance - 1.42113; disc_gan - 0.24991
00000087) perceptual - 86.69630; gen_gan - 0.61447; feature_matching - 4.36549; equivariance_value - 0.29687; equivariance_jacobian - 0.49190; kp_distance - 1.44335; disc_gan - 0.25195
00000087) perceptual - 86.05881; gen_gan - 0.61363; feature_matching - 4.35231; equivariance_value - 0.29646; equivariance_jacobian - 0.49148; kp_distance - 1.44912; disc_gan - 0.25044
00000088) perceptual - 86.91420; gen_gan - 0.61757; feature_matching - 4.36944; equivariance_value - 0.28022; equivariance_jacobian - 0.48290; kp_distance - 1.44735; disc_gan - 0.24971
00000088) perceptual - 86.54469; gen_gan - 0.61298; feature_matching - 4.35392; equivariance_value - 0.28267; equivariance_jacobian - 0.48455; kp_distance - 1.44978; disc_gan - 0.25251
00000089) perceptual - 86.36427; gen_gan - 0.61359; feature_matching - 4.34767; equivariance_value - 0.27847; equivariance_jacobian - 0.47943; kp_distance - 1.40905; disc_gan - 0.25253
00000089) perceptual - 86.28061; gen_gan - 0.61322; feature_matching - 4.34562; equivariance_value - 0.27593; equivariance_jacobian - 0.47849; kp_distance - 1.40873; disc_gan - 0.25230
00000090) perceptual - 86.23785; gen_gan - 0.61355; feature_matching - 4.34044; equivariance_value - 0.27519; equivariance_jacobian - 0.47925; kp_distance - 1.30831; disc_gan - 0.25286
00000090) perceptual - 86.44689; gen_gan - 0.61144; feature_matching - 4.34587; equivariance_value - 0.27810; equivariance_jacobian - 0.48310; kp_distance - 1.31957; disc_gan - 0.25511
00000091) perceptual - 86.07992; gen_gan - 0.61318; feature_matching - 4.33516; equivariance_value - 0.27744; equivariance_jacobian - 0.47545; kp_distance - 1.29430; disc_gan - 0.25171
00000091) perceptual - 86.08162; gen_gan - 0.61425; feature_matching - 4.33865; equivariance_value - 0.27627; equivariance_jacobian - 0.47691; kp_distance - 1.30310; disc_gan - 0.25430
00000092) perceptual - 86.21268; gen_gan - 0.61229; feature_matching - 4.33321; equivariance_value - 0.27669; equivariance_jacobian - 0.47242; kp_distance - 1.42561; disc_gan - 0.25413
00000092) perceptual - 86.25097; gen_gan - 0.61416; feature_matching - 4.33423; equivariance_value - 0.27940; equivariance_jacobian - 0.47457; kp_distance - 1.42299; disc_gan - 0.25287
00000093) perceptual - 86.29439; gen_gan - 0.61606; feature_matching - 4.33123; equivariance_value - 0.26322; equivariance_jacobian - 0.46644; kp_distance - 1.44833; disc_gan - 0.25133
00000093) perceptual - 85.91977; gen_gan - 0.61094; feature_matching - 4.32189; equivariance_value - 0.26530; equivariance_jacobian - 0.46900; kp_distance - 1.44948; disc_gan - 0.25544
00000094) perceptual - 85.64301; gen_gan - 0.61006; feature_matching - 4.31988; equivariance_value - 0.27229; equivariance_jacobian - 0.47438; kp_distance - 1.39900; disc_gan - 0.25382
00000094) perceptual - 85.92591; gen_gan - 0.61375; feature_matching - 4.32695; equivariance_value - 0.27246; equivariance_jacobian - 0.47463; kp_distance - 1.40611; disc_gan - 0.25466
00000095) perceptual - 85.75844; gen_gan - 0.61421; feature_matching - 4.31656; equivariance_value - 0.27099; equivariance_jacobian - 0.47310; kp_distance - 1.36908; disc_gan - 0.25288
00000095) perceptual - 85.37385; gen_gan - 0.61156; feature_matching - 4.30979; equivariance_value - 0.27123; equivariance_jacobian - 0.47328; kp_distance - 1.37290; disc_gan - 0.25501
00000096) perceptual - 85.81721; gen_gan - 0.61534; feature_matching - 4.31477; equivariance_value - 0.26820; equivariance_jacobian - 0.47135; kp_distance - 1.46052; disc_gan - 0.25365
00000096) perceptual - 85.53631; gen_gan - 0.60798; feature_matching - 4.29849; equivariance_value - 0.26625; equivariance_jacobian - 0.47103; kp_distance - 1.45885; disc_gan - 0.25621
00000097) perceptual - 85.43871; gen_gan - 0.61166; feature_matching - 4.31446; equivariance_value - 0.26189; equivariance_jacobian - 0.46710; kp_distance - 1.48924; disc_gan - 0.25441
00000097) perceptual - 85.41296; gen_gan - 0.61304; feature_matching - 4.31807; equivariance_value - 0.26351; equivariance_jacobian - 0.46969; kp_distance - 1.48078; disc_gan - 0.25264
00000098) perceptual - 85.52920; gen_gan - 0.61407; feature_matching - 4.32209; equivariance_value - 0.27119; equivariance_jacobian - 0.47207; kp_distance - 1.34595; disc_gan - 0.25305
00000098) perceptual - 85.38803; gen_gan - 0.61444; feature_matching - 4.31696; equivariance_value - 0.26988; equivariance_jacobian - 0.47138; kp_distance - 1.34424; disc_gan - 0.25206
00000099) perceptual - 85.35651; gen_gan - 0.61295; feature_matching - 4.31785; equivariance_value - 0.26885; equivariance_jacobian - 0.46761; kp_distance - 1.36897; disc_gan - 0.25344
00000099) perceptual - 85.11180; gen_gan - 0.61030; feature_matching - 4.30742; equivariance_value - 0.26650; equivariance_jacobian - 0.46602; kp_distance - 1.37201; disc_gan - 0.25420
00000100) perceptual - 85.24734; gen_gan - 0.61188; feature_matching - 4.31056; equivariance_value - 0.25727; equivariance_jacobian - 0.46335; kp_distance - 1.46406; disc_gan - 0.25431
00000100) perceptual - 85.11356; gen_gan - 0.61341; feature_matching - 4.31208; equivariance_value - 0.25699; equivariance_jacobian - 0.46694; kp_distance - 1.46096; disc_gan - 0.25445
00000101) perceptual - 85.58052; gen_gan - 0.61804; feature_matching - 4.32002; equivariance_value - 0.26111; equivariance_jacobian - 0.46845; kp_distance - 1.51218; disc_gan - 0.25065
00000101) perceptual - 85.39268; gen_gan - 0.61729; feature_matching - 4.32045; equivariance_value - 0.26115; equivariance_jacobian - 0.46777; kp_distance - 1.49942; disc_gan - 0.25016
00000102) perceptual - 84.86192; gen_gan - 0.61314; feature_matching - 4.30597; equivariance_value - 0.25136; equivariance_jacobian - 0.46058; kp_distance - 1.42194; disc_gan - 0.25161
00000102) perceptual - 85.32603; gen_gan - 0.61771; feature_matching - 4.31586; equivariance_value - 0.25502; equivariance_jacobian - 0.46042; kp_distance - 1.42594; disc_gan - 0.25277
00000103) perceptual - 85.05447; gen_gan - 0.61516; feature_matching - 4.31036; equivariance_value - 0.25073; equivariance_jacobian - 0.46061; kp_distance - 1.43999; disc_gan - 0.25373
00000103) perceptual - 85.14986; gen_gan - 0.61453; feature_matching - 4.32008; equivariance_value - 0.25116; equivariance_jacobian - 0.46124; kp_distance - 1.44135; disc_gan - 0.25171
00000104) perceptual - 85.23224; gen_gan - 0.61515; feature_matching - 4.30934; equivariance_value - 0.25230; equivariance_jacobian - 0.46092; kp_distance - 1.37601; disc_gan - 0.25117
00000104) perceptual - 84.36573; gen_gan - 0.61540; feature_matching - 4.29491; equivariance_value - 0.25582; equivariance_jacobian - 0.46489; kp_distance - 1.38622; disc_gan - 0.25321
00000105) perceptual - 85.19872; gen_gan - 0.61722; feature_matching - 4.32083; equivariance_value - 0.26526; equivariance_jacobian - 0.46379; kp_distance - 1.38260; disc_gan - 0.24985
00000105) perceptual - 85.11896; gen_gan - 0.61726; feature_matching - 4.31517; equivariance_value - 0.26345; equivariance_jacobian - 0.46179; kp_distance - 1.37874; disc_gan - 0.25111
00000106) perceptual - 85.04389; gen_gan - 0.61813; feature_matching - 4.31918; equivariance_value - 0.27955; equivariance_jacobian - 0.46435; kp_distance - 1.38499; disc_gan - 0.25214
00000106) perceptual - 84.88550; gen_gan - 0.61278; feature_matching - 4.31568; equivariance_value - 0.28227; equivariance_jacobian - 0.46552; kp_distance - 1.38796; disc_gan - 0.25237
00000107) perceptual - 85.49167; gen_gan - 0.62356; feature_matching - 4.33439; equivariance_value - 0.25568; equivariance_jacobian - 0.46244; kp_distance - 1.43568; disc_gan - 0.24576
00000107) perceptual - 85.56693; gen_gan - 0.62299; feature_matching - 4.33603; equivariance_value - 0.25842; equivariance_jacobian - 0.46373; kp_distance - 1.43241; disc_gan - 0.24900
00000108) perceptual - 84.84615; gen_gan - 0.62141; feature_matching - 4.31602; equivariance_value - 0.26156; equivariance_jacobian - 0.46346; kp_distance - 1.37606; disc_gan - 0.24924
00000108) perceptual - 84.96363; gen_gan - 0.61579; feature_matching - 4.31381; equivariance_value - 0.26299; equivariance_jacobian - 0.46516; kp_distance - 1.36222; disc_gan - 0.25135
00000109) perceptual - 84.86633; gen_gan - 0.62029; feature_matching - 4.31429; equivariance_value - 0.26862; equivariance_jacobian - 0.46372; kp_distance - 1.38246; disc_gan - 0.24967
00000109) perceptual - 85.09254; gen_gan - 0.62044; feature_matching - 4.31736; equivariance_value - 0.26682; equivariance_jacobian - 0.46256; kp_distance - 1.38215; disc_gan - 0.24943
00000110) perceptual - 84.26071; gen_gan - 0.61654; feature_matching - 4.30899; equivariance_value - 0.27118; equivariance_jacobian - 0.46381; kp_distance - 1.31120; disc_gan - 0.25036
00000110) perceptual - 84.46466; gen_gan - 0.61909; feature_matching - 4.32033; equivariance_value - 0.27410; equivariance_jacobian - 0.46486; kp_distance - 1.31271; disc_gan - 0.25007
00000111) perceptual - 84.60528; gen_gan - 0.61701; feature_matching - 4.31917; equivariance_value - 0.27507; equivariance_jacobian - 0.46415; kp_distance - 1.37203; disc_gan - 0.25067
00000111) perceptual - 84.45509; gen_gan - 0.61959; feature_matching - 4.31653; equivariance_value - 0.27426; equivariance_jacobian - 0.46223; kp_distance - 1.36953; disc_gan - 0.24870
00000112) perceptual - 84.21947; gen_gan - 0.61835; feature_matching - 4.31451; equivariance_value - 0.26426; equivariance_jacobian - 0.46353; kp_distance - 1.40931; disc_gan - 0.25185
00000112) perceptual - 84.39447; gen_gan - 0.61896; feature_matching - 4.31939; equivariance_value - 0.26497; equivariance_jacobian - 0.46401; kp_distance - 1.39691; disc_gan - 0.24872
00000113) perceptual - 83.93900; gen_gan - 0.61903; feature_matching - 4.30862; equivariance_value - 0.25454; equivariance_jacobian - 0.45726; kp_distance - 1.43691; disc_gan - 0.25083
00000113) perceptual - 84.38512; gen_gan - 0.61942; feature_matching - 4.32666; equivariance_value - 0.25599; equivariance_jacobian - 0.45748; kp_distance - 1.43710; disc_gan - 0.24841
00000114) perceptual - 85.55844; gen_gan - 0.40410; feature_matching - 2.40782; equivariance_value - 0.24343; equivariance_jacobian - 0.45266; kp_distance - 1.45910; disc_gan - 0.45132
00000114) perceptual - 85.94467; gen_gan - 0.39975; feature_matching - 2.41524; equivariance_value - 0.24277; equivariance_jacobian - 0.45224; kp_distance - 1.46223; disc_gan - 0.45027
00000115) perceptual - 84.19831; gen_gan - 0.52292; feature_matching - 3.58240; equivariance_value - 0.24599; equivariance_jacobian - 0.45128; kp_distance - 1.35002; disc_gan - 0.33259
00000115) perceptual - 84.47552; gen_gan - 0.51968; feature_matching - 3.58498; equivariance_value - 0.24649; equivariance_jacobian - 0.45491; kp_distance - 1.34567; disc_gan - 0.33036
00000116) perceptual - 83.81023; gen_gan - 0.50111; feature_matching - 3.61554; equivariance_value - 0.24719; equivariance_jacobian - 0.45671; kp_distance - 1.38305; disc_gan - 0.33080
00000116) perceptual - 84.20973; gen_gan - 0.49752; feature_matching - 3.62033; equivariance_value - 0.24934; equivariance_jacobian - 0.45800; kp_distance - 1.38053; disc_gan - 0.33316
00000117) perceptual - 84.31218; gen_gan - 0.62084; feature_matching - 4.32874; equivariance_value - 0.24865; equivariance_jacobian - 0.45694; kp_distance - 1.41580; disc_gan - 0.24401
00000117) perceptual - 84.11451; gen_gan - 0.61959; feature_matching - 4.33140; equivariance_value - 0.24529; equivariance_jacobian - 0.45397; kp_distance - 1.41306; disc_gan - 0.24476
00000118) perceptual - 84.10136; gen_gan - 0.62309; feature_matching - 4.35336; equivariance_value - 0.23583; equivariance_jacobian - 0.44836; kp_distance - 1.49614; disc_gan - 0.24423
00000118) perceptual - 83.81242; gen_gan - 0.62204; feature_matching - 4.34563; equivariance_value - 0.23654; equivariance_jacobian - 0.44794; kp_distance - 1.48992; disc_gan - 0.24431
00000119) perceptual - 84.16438; gen_gan - 0.62098; feature_matching - 4.35163; equivariance_value - 0.25193; equivariance_jacobian - 0.45908; kp_distance - 1.35727; disc_gan - 0.24531
00000119) perceptual - 84.32769; gen_gan - 0.62319; feature_matching - 4.34953; equivariance_value - 0.25085; equivariance_jacobian - 0.45779; kp_distance - 1.35971; disc_gan - 0.24392
00000120) perceptual - 84.27691; gen_gan - 0.62343; feature_matching - 4.35035; equivariance_value - 0.24653; equivariance_jacobian - 0.45806; kp_distance - 1.38269; disc_gan - 0.24475
00000120) perceptual - 83.89056; gen_gan - 0.62154; feature_matching - 4.34101; equivariance_value - 0.24715; equivariance_jacobian - 0.45643; kp_distance - 1.38060; disc_gan - 0.24626
00000121) perceptual - 84.02463; gen_gan - 0.62607; feature_matching - 4.34286; equivariance_value - 0.24848; equivariance_jacobian - 0.45620; kp_distance - 1.36291; disc_gan - 0.24528
00000121) perceptual - 83.79510; gen_gan - 0.62073; feature_matching - 4.33110; equivariance_value - 0.24763; equivariance_jacobian - 0.45529; kp_distance - 1.36304; disc_gan - 0.24609
00000122) perceptual - 83.81802; gen_gan - 0.62448; feature_matching - 4.33888; equivariance_value - 0.25537; equivariance_jacobian - 0.45700; kp_distance - 1.37227; disc_gan - 0.24717
00000122) perceptual - 84.17158; gen_gan - 0.62068; feature_matching - 4.33903; equivariance_value - 0.25427; equivariance_jacobian - 0.45741; kp_distance - 1.37563; disc_gan - 0.24641
00000123) perceptual - 83.95594; gen_gan - 0.62141; feature_matching - 4.33060; equivariance_value - 0.24187; equivariance_jacobian - 0.44999; kp_distance - 1.34842; disc_gan - 0.24744
00000123) perceptual - 83.73641; gen_gan - 0.62318; feature_matching - 4.32977; equivariance_value - 0.24313; equivariance_jacobian - 0.45016; kp_distance - 1.34816; disc_gan - 0.24582
00000124) perceptual - 83.47839; gen_gan - 0.62256; feature_matching - 4.32712; equivariance_value - 0.24259; equivariance_jacobian - 0.45069; kp_distance - 1.33878; disc_gan - 0.24718
00000124) perceptual - 83.83955; gen_gan - 0.62299; feature_matching - 4.33567; equivariance_value - 0.24586; equivariance_jacobian - 0.45301; kp_distance - 1.34222; disc_gan - 0.24399
00000125) perceptual - 83.73132; gen_gan - 0.62203; feature_matching - 4.32980; equivariance_value - 0.25897; equivariance_jacobian - 0.46130; kp_distance - 1.29039; disc_gan - 0.24660
00000125) perceptual - 83.64597; gen_gan - 0.62483; feature_matching - 4.32930; equivariance_value - 0.25849; equivariance_jacobian - 0.45865; kp_distance - 1.28982; disc_gan - 0.24680
00000126) perceptual - 84.12521; gen_gan - 0.62630; feature_matching - 4.33759; equivariance_value - 0.25367; equivariance_jacobian - 0.45634; kp_distance - 1.28239; disc_gan - 0.24299
00000126) perceptual - 84.13804; gen_gan - 0.62561; feature_matching - 4.34403; equivariance_value - 0.25368; equivariance_jacobian - 0.45442; kp_distance - 1.27988; disc_gan - 0.24422
00000127) perceptual - 83.66586; gen_gan - 0.62637; feature_matching - 4.33356; equivariance_value - 0.24492; equivariance_jacobian - 0.44922; kp_distance - 1.36237; disc_gan - 0.24474
00000127) perceptual - 83.03374; gen_gan - 0.62426; feature_matching - 4.32519; equivariance_value - 0.24333; equivariance_jacobian - 0.44802; kp_distance - 1.35814; disc_gan - 0.24591
00000128) perceptual - 83.63045; gen_gan - 0.62810; feature_matching - 4.32828; equivariance_value - 0.24438; equivariance_jacobian - 0.45283; kp_distance - 1.34153; disc_gan - 0.24405
00000128) perceptual - 83.39236; gen_gan - 0.62253; feature_matching - 4.32376; equivariance_value - 0.24120; equivariance_jacobian - 0.45055; kp_distance - 1.34424; disc_gan - 0.24519
00000129) perceptual - 83.39411; gen_gan - 0.62742; feature_matching - 4.33091; equivariance_value - 0.24300; equivariance_jacobian - 0.45119; kp_distance - 1.39926; disc_gan - 0.24543
00000129) perceptual - 83.58357; gen_gan - 0.62364; feature_matching - 4.33074; equivariance_value - 0.24419; equivariance_jacobian - 0.45151; kp_distance - 1.39691; disc_gan - 0.24439
00000130) perceptual - 83.51948; gen_gan - 0.62843; feature_matching - 4.32914; equivariance_value - 0.24521; equivariance_jacobian - 0.45170; kp_distance - 1.36650; disc_gan - 0.24363
00000130) perceptual - 83.40286; gen_gan - 0.62374; feature_matching - 4.32622; equivariance_value - 0.24435; equivariance_jacobian - 0.44943; kp_distance - 1.37491; disc_gan - 0.24508
00000131) perceptual - 83.56884; gen_gan - 0.62889; feature_matching - 4.33654; equivariance_value - 0.25188; equivariance_jacobian - 0.45501; kp_distance - 1.42644; disc_gan - 0.24274
00000131) perceptual - 83.70186; gen_gan - 0.62472; feature_matching - 4.33823; equivariance_value - 0.25028; equivariance_jacobian - 0.45335; kp_distance - 1.43067; disc_gan - 0.24475
00000132) perceptual - 83.43256; gen_gan - 0.62755; feature_matching - 4.33632; equivariance_value - 0.25212; equivariance_jacobian - 0.44991; kp_distance - 1.36212; disc_gan - 0.24348
00000132) perceptual - 82.88958; gen_gan - 0.62549; feature_matching - 4.31882; equivariance_value - 0.24870; equivariance_jacobian - 0.44765; kp_distance - 1.36460; disc_gan - 0.24463
00000133) perceptual - 83.08562; gen_gan - 0.62978; feature_matching - 4.33589; equivariance_value - 0.25300; equivariance_jacobian - 0.45165; kp_distance - 1.28828; disc_gan - 0.24386
00000133) perceptual - 83.27054; gen_gan - 0.62731; feature_matching - 4.34177; equivariance_value - 0.25181; equivariance_jacobian - 0.45111; kp_distance - 1.28927; disc_gan - 0.24242
00000134) perceptual - 84.73379; gen_gan - 0.60306; feature_matching - 4.13970; equivariance_value - 0.24690; equivariance_jacobian - 0.45525; kp_distance - 1.36518; disc_gan - 0.27822
00000134) perceptual - 85.04108; gen_gan - 0.60340; feature_matching - 4.15022; equivariance_value - 0.24704; equivariance_jacobian - 0.45411; kp_distance - 1.36639; disc_gan - 0.27862
00000135) perceptual - 84.60548; gen_gan - 0.47451; feature_matching - 3.23571; equivariance_value - 0.26926; equivariance_jacobian - 0.45543; kp_distance - 1.67771; disc_gan - 0.35414
00000135) perceptual - 84.71645; gen_gan - 0.47374; feature_matching - 3.24176; equivariance_value - 0.27028; equivariance_jacobian - 0.45456; kp_distance - 1.68181; disc_gan - 0.35404
00000136) perceptual - 83.62778; gen_gan - 0.62877; feature_matching - 4.34444; equivariance_value - 0.25600; equivariance_jacobian - 0.44658; kp_distance - 1.48392; disc_gan - 0.24026
00000136) perceptual - 83.10474; gen_gan - 0.62565; feature_matching - 4.33185; equivariance_value - 0.25797; equivariance_jacobian - 0.44964; kp_distance - 1.47381; disc_gan - 0.24290
00000137) perceptual - 83.54678; gen_gan - 0.62828; feature_matching - 4.34906; equivariance_value - 0.23904; equivariance_jacobian - 0.44362; kp_distance - 1.35320; disc_gan - 0.24248
00000137) perceptual - 82.83389; gen_gan - 0.62442; feature_matching - 4.32704; equivariance_value - 0.24202; equivariance_jacobian - 0.44720; kp_distance - 1.34019; disc_gan - 0.24226
00000138) perceptual - 82.73990; gen_gan - 0.62580; feature_matching - 4.32687; equivariance_value - 0.24020; equivariance_jacobian - 0.44759; kp_distance - 1.32238; disc_gan - 0.24261
00000138) perceptual - 83.61234; gen_gan - 0.62938; feature_matching - 4.35242; equivariance_value - 0.23914; equivariance_jacobian - 0.44693; kp_distance - 1.32273; disc_gan - 0.24018
00000139) perceptual - 82.96519; gen_gan - 0.62984; feature_matching - 4.33826; equivariance_value - 0.24817; equivariance_jacobian - 0.44976; kp_distance - 1.30322; disc_gan - 0.24215
00000139) perceptual - 83.32954; gen_gan - 0.62731; feature_matching - 4.33370; equivariance_value - 0.24735; equivariance_jacobian - 0.44690; kp_distance - 1.30364; disc_gan - 0.24289
00000140) perceptual - 83.37106; gen_gan - 0.63102; feature_matching - 4.34450; equivariance_value - 0.24607; equivariance_jacobian - 0.44639; kp_distance - 1.29327; disc_gan - 0.24106
00000140) perceptual - 82.86888; gen_gan - 0.62858; feature_matching - 4.33259; equivariance_value - 0.24614; equivariance_jacobian - 0.44872; kp_distance - 1.29303; disc_gan - 0.24053
00000141) perceptual - 82.82468; gen_gan - 0.62744; feature_matching - 4.33414; equivariance_value - 0.24501; equivariance_jacobian - 0.44485; kp_distance - 1.29481; disc_gan - 0.24064
00000141) perceptual - 82.47768; gen_gan - 0.63149; feature_matching - 4.33240; equivariance_value - 0.24809; equivariance_jacobian - 0.44764; kp_distance - 1.29360; disc_gan - 0.24197
00000142) perceptual - 82.96964; gen_gan - 0.63104; feature_matching - 4.34226; equivariance_value - 0.23924; equivariance_jacobian - 0.44194; kp_distance - 1.32422; disc_gan - 0.23990
00000142) perceptual - 82.67072; gen_gan - 0.63052; feature_matching - 4.33474; equivariance_value - 0.24119; equivariance_jacobian - 0.44457; kp_distance - 1.32179; disc_gan - 0.24094
00000143) perceptual - 82.94820; gen_gan - 0.62861; feature_matching - 4.34687; equivariance_value - 0.24417; equivariance_jacobian - 0.44621; kp_distance - 1.33706; disc_gan - 0.24280
00000143) perceptual - 82.70087; gen_gan - 0.63158; feature_matching - 4.34786; equivariance_value - 0.24576; equivariance_jacobian - 0.44711; kp_distance - 1.34125; disc_gan - 0.24023
00000144) perceptual - 83.07845; gen_gan - 0.63257; feature_matching - 4.35103; equivariance_value - 0.24001; equivariance_jacobian - 0.44241; kp_distance - 1.36043; disc_gan - 0.23945
00000144) perceptual - 82.57101; gen_gan - 0.63197; feature_matching - 4.34100; equivariance_value - 0.23938; equivariance_jacobian - 0.44399; kp_distance - 1.35570; disc_gan - 0.23965
00000145) perceptual - 82.55820; gen_gan - 0.63007; feature_matching - 4.34446; equivariance_value - 0.23719; equivariance_jacobian - 0.44195; kp_distance - 1.32594; disc_gan - 0.24085
00000145) perceptual - 82.51115; gen_gan - 0.63013; feature_matching - 4.34175; equivariance_value - 0.23744; equivariance_jacobian - 0.44235; kp_distance - 1.32960; disc_gan - 0.24184
00000146) perceptual - 82.77505; gen_gan - 0.63361; feature_matching - 4.34580; equivariance_value - 0.23806; equivariance_jacobian - 0.44327; kp_distance - 1.33645; disc_gan - 0.23983
00000146) perceptual - 82.48419; gen_gan - 0.62900; feature_matching - 4.33884; equivariance_value - 0.23656; equivariance_jacobian - 0.44145; kp_distance - 1.33526; disc_gan - 0.24151
00000147) perceptual - 82.80801; gen_gan - 0.63641; feature_matching - 4.35481; equivariance_value - 0.23883; equivariance_jacobian - 0.44454; kp_distance - 1.38699; disc_gan - 0.23787
00000147) perceptual - 82.74374; gen_gan - 0.63386; feature_matching - 4.35371; equivariance_value - 0.23852; equivariance_jacobian - 0.44534; kp_distance - 1.38131; disc_gan - 0.23799
00000148) perceptual - 81.88258; gen_gan - 0.63278; feature_matching - 4.33158; equivariance_value - 0.23090; equivariance_jacobian - 0.43707; kp_distance - 1.37725; disc_gan - 0.23916
00000148) perceptual - 82.38937; gen_gan - 0.63354; feature_matching - 4.34163; equivariance_value - 0.23303; equivariance_jacobian - 0.43901; kp_distance - 1.37095; disc_gan - 0.23882
